,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
14,5979,100,Feature Gym,0,0,2021-11-19T23:18:55.043,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637409902.8708873
16,5961,300,B&G Gym 4-6,0,0,2021-11-19T16:11:50.517,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637409902.8708873
17,5993,200,Scifres ,0,0,2021-11-19T23:18:55.42,10,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
18,5972,20,Climbing Wall ,0,0,2021-11-18T22:20:16.343,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637409902.8708873
19,5969,20,Bouldering Wall,0,0,2021-11-19T23:18:56.653,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-19T23:18:57.043,26,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
21,5990,50,Olympic Lifting Room ,0,0,2021-11-19T23:18:57.437,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
22,6132,300,MP4 (Table Tennis),0,0,2021-11-19T23:18:58.233,10,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-19T23:18:58.61,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
24,7291,300,Colby (Cardio),0,0,2021-11-19T23:18:59.013,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
25,7290,300,Colby (Strength),0,0,2021-11-19T23:18:59.39,48,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-19T23:18:59.793,54,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637409902.8708873
27,5994,300,TREC,0,0,2021-11-19T22:16:37.437,43,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637409902.8708873
0,6129,100,Upper Track (4th Floor),0,0,2021-11-20T08:04:38.047,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-20T08:04:38.66,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
2,5995,100,Upper Fitness ,0,0,2021-11-20T08:04:39,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
3,5996,100,Upper Gym,0,0,2021-11-20T08:04:39.343,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
4,6130,100,MAC Court (Cardio),0,0,2021-11-20T08:04:40.5,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
